SpeciesID	ringX	ring	species	lifestage	sampdate	hatchdate	plot	box	zone	radiation	wingmm	age	massg	sex	microbiome	clutch_size	brood_size	forest_type	hatch_value	body_condition	categoryHC	cont_label1	cont_label2	species_label	category
X29	X29	29	GT	nestling	23.5.2021	8.5.2021	C2	15	C	0.079	47	15	16.2	F	Y	11	11	birch	1	-0.940579429	GTnC	Uncontaminated	Unc	P. major	GTn
X31	X31	31	GT	nestling	23.5.2021	8.5.2021	C2	15	C	0.079	49	15	15.8	F	Y	11	11	birch	1	-1.792446931	GTnC	Uncontaminated	Unc	P. major	GTn
X101	X101	101	GT	nestling	23.5.2021	9.5.2021	H1	18	H	107.9	46	14	16.4	M	Y	11	11	birch	2	-0.514645679	GTnH	Contaminated	Con	P. major	GTn
X102	X102	102	GT	nestling	23.5.2021	9.5.2021	H1	18	H	107.9	45	14	16.5	M	Y	11	11	birch	2	-0.188711928	GTnH	Contaminated	Con	P. major	GTn
X20	X20	20	GT	nestling	23.5.2021	9.5.2021	C2	16A	C	0.173	48	14	16.6	F	Y	9	9	birch	2	-0.76651318	GTnC	Uncontaminated	Unc	P. major	GTn
X22	X22	22	GT	nestling	23.5.2021	9.5.2021	C2	16A	C	0.173	46	14	16	F	Y	9	9	birch	2	-0.914645679	GTnC	Uncontaminated	Unc	P. major	GTn
X7	X7	7	GT	nestling	23.5.2021	9.5.2021	C2	6	C	0.171	50	14	16.2	M	Y	11	11	birch	2	-1.618380682	GTnC	Uncontaminated	Unc	P. major	GTn
X8	X8	8	GT	nestling	23.5.2021	9.5.2021	C2	6	C	0.171	46	14	14.5	F	Y	11	11	birch	2	-2.414645679	GTnC	Uncontaminated	Unc	P. major	GTn
X66	X66	66	GT	nestling	24.5.2021	10.5.2021	STECH	20	C	0.1	47	14	16.7	F	Y	11	11	birch	3	-0.440579429	GTnC	Uncontaminated	Unc	P. major	GTn
X70	X70	70	GT	nestling	24.5.2021	10.5.2021	STECH	20	C	0.1	45	14	17.1	M	Y	11	11	birch	3	0.411288072	GTnC	Uncontaminated	Unc	P. major	GTn
X90	X90	90	GT	nestling	24.5.2021	10.5.2021	STECH	28	C	0.1	46	14	16.4	M	Y	10	10	birch	3	-0.514645679	GTnC	Uncontaminated	Unc	P. major	GTn
X91	X91	91	GT	nestling	24.5.2021	10.5.2021	STECH	28	C	0.1	45	14	16.1	F	Y	10	10	birch	3	-0.588711928	GTnC	Uncontaminated	Unc	P. major	GTn
X128	X128	128	GT	nestling	25.5.2021	11.5.2021	RED3	10	H	49	44	14	15.2	F	Y	11	10	birch	4	-1.262778177	GTnH	Contaminated	Con	P. major	GTn
X129	X129	129	GT	nestling	25.5.2021	11.5.2021	RED3	10	H	49	49	14	16.8	M	Y	11	10	birch	4	-0.792446931	GTnH	Contaminated	Con	P. major	GTn
X15	X15	15	GT	nestling	23.5.2021	11.5.2021	C2	9A	C	0.176	41	12	14.9	F	Y	10	10	birch	4	-0.884976924	GTnC	Uncontaminated	Unc	P. major	GTn
X16	X16	16	GT	nestling	23.5.2021	11.5.2021	C2	9A	C	0.176	41	12	14.9	M	Y	10	10	birch	4	-0.884976924	GTnC	Uncontaminated	Unc	P. major	GTn
X160	X160	160	GT	nestling	26.5.2021	11.5.2021	VESN	41	H	10.7	52	15	16.6	M	Y	11	11	mixed	4	-1.670248184	GTnH	Contaminated	Con	P. major	GTn
X163	X163	163	GT	nestling	26.5.2021	11.5.2021	VESN	41	H	10.7	51	15	16.6	F	Y	11	11	mixed	4	-1.444314433	GTnH	Contaminated	Con	P. major	GTn
X45	X45	45	GT	nestling	23.5.2021	11.5.2021	C1	17	C	0.17	42	12	16.5	M	Y	11	11	birch	4	0.489089325	GTnC	Uncontaminated	Unc	P. major	GTn
X47	X47	47	GT	nestling	23.5.2021	11.5.2021	C1	17	C	0.17	38	12	14.5	F	Y	11	11	birch	4	-0.607175672	GTnC	Uncontaminated	Unc	P. major	GTn
X49	X49	49	GT	nestling	23.5.2021	11.5.2021	C1	14	C	0.077	39	12	15.1	F	Y	10	7	birch	4	-0.233109423	GTnC	Uncontaminated	Unc	P. major	GTn
X50	X50	50	GT	nestling	23.5.2021	11.5.2021	C1	14	C	0.077	41	12	16.5	F	Y	10	7	birch	4	0.715023076	GTnC	Uncontaminated	Unc	P. major	GTn
X105	X105	105	GT	nestling	23.5.2021	12.5.2021	H1	9B	H	73.79	38	11	15.5	M	Y	11	11	birch	5	0.392824328	GTnH	Contaminated	Con	P. major	GTn
X106	X106	106	GT	nestling	23.5.2021	12.5.2021	H1	9B	H	73.79	31	11	12.7	M	Y	11	11	birch	5	-0.825639416	GTnH	Contaminated	Con	P. major	GTn
X114	X114	114	GT	nestling	24.5.2021	12.5.2021	RAZ	47	C	0.17	39	12	16.4	F	Y	11	10	mixed	5	1.066890577	GTnC	Uncontaminated	Unc	P. major	GTn
X115	X115	115	GT	nestling	24.5.2021	12.5.2021	RAZ	47	C	0.17	42	12	16.2	F	Y	11	10	mixed	5	0.189089325	GTnC	Uncontaminated	Unc	P. major	GTn
X118	X118	118	GT	nestling	24.5.2021	12.5.2021	RED3	2B	H	53	41	12	17.5	M	Y	13	10	birch	5	1.715023076	GTnH	Contaminated	Con	P. major	GTn
X119	X119	119	GT	nestling	24.5.2021	12.5.2021	RED3	2B	H	53	42	12	17.5	F	Y	13	10	birch	5	1.489089325	GTnH	Contaminated	Con	P. major	GTn
X34	X34	34	GT	nestling	23.5.2021	12.5.2021	C2	5	C	0.072	35	11	15.6	M	Y	11	11	birch	5	1.170625581	GTnC	Uncontaminated	Unc	P. major	GTn
X36	X36	36	GT	nestling	23.5.2021	12.5.2021	C2	5	C	0.072	36	11	14.7	M	Y	11	11	birch	5	0.04469183	GTnC	Uncontaminated	Unc	P. major	GTn
X1	X1	1	GT	nestling	23.5.2021	13.5.2021	C2	1	C	0.078	34	10	15.6	M	Y	11	9	birch	6	1.396559332	GTnC	Uncontaminated	Unc	P. major	GTn
X122	X122	122	GT	nestling	25.5.2021	13.5.2021	RED3	8	H	38	39	12	13.5	F	Y	11	10	birch	6	-1.833109423	GTnH	Contaminated	Con	P. major	GTn
X123	X123	123	GT	nestling	25.5.2021	13.5.2021	RED3	8	H	38	40	12	14.3	F	Y	10	10	birch	6	-1.259043173	GTnH	Contaminated	Con	P. major	GTn
X2	X2	2	GT	nestling	23.5.2021	13.5.2021	C2	1	C	0.078	31	10	11.2	F	Y	11	9	birch	6	-2.325639416	GTnC	Uncontaminated	Unc	P. major	GTn
X209	X209	209	GT	nestling	27.5.2021	13.5.2021	KOS	149	C	0.3	43	14	17.9	M	Y	11	11	birch	6	1.663155574	GTnC	Uncontaminated	Unc	P. major	GTn
X211	X211	211	GT	nestling	27.5.2021	13.5.2021	KOS	149	C	0.3	46	14	17.4	F	Y	11	11	birch	6	0.485354321	GTnC	Uncontaminated	Unc	P. major	GTn
X54	X54	54	GT	nestling	23.5.2021	13.5.2021	C1	2A	C	0.171	32	10	14.9	M	Y	10	9	birch	6	1.148426833	GTnC	Uncontaminated	Unc	P. major	GTn
X55	X55	55	GT	nestling	23.5.2021	13.5.2021	C1	2A	C	0.171	26	10	12.1	F	Y	10	9	birch	6	-0.295970661	GTnC	Uncontaminated	Unc	P. major	GTn
X81	X81	81	GT	nestling	24.5.2021	13.5.2021	STECH	24	C	0.1	37	11	14.5	F	Y	11	11	birch	6	-0.381241921	GTnC	Uncontaminated	Unc	P. major	GTn
X84	X84	84	GT	nestling	24.5.2021	13.5.2021	STECH	24	C	0.1	37	11	14.3	F	Y	11	11	birch	6	-0.581241921	GTnC	Uncontaminated	Unc	P. major	GTn
X132	X132	132	GT	nestling	25.5.2021	14.5.2021	RED3	12	H	57	35	11	13.6	F	Y	12	12	birch	7	-0.829374419	GTnH	Contaminated	Con	P. major	GTn
X133	X133	133	GT	nestling	25.5.2021	14.5.2021	RED3	12	H	57	35	11	13.5	M	Y	12	12	birch	7	-0.929374419	GTnH	Contaminated	Con	P. major	GTn
X180	X180	180	GT	nestling	26.5.2021	14.5.2021	CHISTO	90+	H	12.23	41	12	17.2	M	Y	12	12	birch	7	1.415023076	GTnH	Contaminated	Con	P. major	GTn
X181	X181	181	GT	nestling	26.5.2021	14.5.2021	CHISTO	90+	H	12.23	39	12	14	F	Y	12	12	birch	7	-1.333109423	GTnH	Contaminated	Con	P. major	GTn
X213	X213	213	GT	nestling	27.5.2021	14.5.2021	KOS	150	C	NA	46	13	18.3	M	Y	12	12	birch	7	1.385354321	GTnC	Uncontaminated	Unc	P. major	GTn
X214	X214	214	GT	nestling	27.5.2021	14.5.2021	KOS	150	C	NA	40	13	16	M	Y	12	12	birch	7	0.440956827	GTnC	Uncontaminated	Unc	P. major	GTn
X76	X76	76	GT	nestling	24.5.2021	14.5.2021	STECH	23	C	0.1	29	10	11.5	F	Y	12	9	birch	7	-1.573771914	GTnC	Uncontaminated	Unc	P. major	GTn
X77	X77	77	GT	nestling	24.5.2021	14.5.2021	STECH	23	C	0.1	28	10	9.3	M	Y	12	9	birch	7	-3.547838163	GTnC	Uncontaminated	Unc	P. major	GTn
X110	X110	110	GT	nestling	24.5.2021	15.5.2021	RAZ	46	C	0.17	27	9	12.4	F	Y	9	9	mixed	8	-0.221904412	GTnC	Uncontaminated	Unc	P. major	GTn
X111	X111	111	GT	nestling	24.5.2021	15.5.2021	RAZ	46	C	0.17	30	9	14.6	M	Y	9	9	mixed	8	1.300294335	GTnC	Uncontaminated	Unc	P. major	GTn
X191	X191	191	GT	nestling	27.5.2021	15.5.2021	GLUBO	130	H	13.7	40	12	16.1	M	Y	11	11	birch	8	0.540956827	GTnH	Contaminated	Con	P. major	GTn
X192	X192	192	GT	nestling	27.5.2021	15.5.2021	GLUBO	130	H	13.7	39	12	14.5	M	Y	11	11	birch	8	-0.833109423	GTnH	Contaminated	Con	P. major	GTn
X71	X71	71	GT	nestling	24.5.2021	15.5.2021	STECH	21	C	0.1	29	9	11.9	F	Y	10	10	birch	8	-1.173771914	GTnC	Uncontaminated	Unc	P. major	GTn
X73	X73	73	GT	nestling	24.5.2021	15.5.2021	STECH	21	C	0.1	24	9	12.1	F	Y	10	10	birch	8	0.15589684	GTnC	Uncontaminated	Unc	P. major	GTn
X86	X86	86	GT	nestling	24.5.2021	15.5.2021	STECH	27	C	0.1	32	9	12.5	F	Y	8	8	birch	8	-1.251573167	GTnC	Uncontaminated	Unc	P. major	GTn
X87	X87	87	GT	nestling	24.5.2021	15.5.2021	STECH	27	C	0.1	25	9	11.6	F	Y	8	8	birch	8	-0.570036911	GTnC	Uncontaminated	Unc	P. major	GTn
X97	X97	97	GT	nestling	24.5.2021	15.5.2021	RAZ	59	C	0.17	30	9	14.1	F	Y	12	12	mixed	8	0.800294335	GTnC	Uncontaminated	Unc	P. major	GTn
X99	X99	99	GT	nestling	24.5.2021	15.5.2021	RAZ	59	C	0.17	29	9	14	F	Y	12	12	mixed	8	0.926228086	GTnC	Uncontaminated	Unc	P. major	GTn
X152	X152	152	GT	nestling	26.5.2021	16.5.2021	VESN	34	H	3.7	34	10	14.8	F	Y	8	8	mixed	9	0.596559332	GTnH	Contaminated	Con	P. major	GTn
X154	X154	154	GT	nestling	26.5.2021	16.5.2021	VESN	34	H	3.7	28	10	13.3	M	Y	8	8	mixed	9	0.452161837	GTnH	Contaminated	Con	P. major	GTn
X158	X158	158	GT	nestling	26.5.2021	16.5.2021	VESN	43	H	6.3	28	10	12.6	F	Y	10	10	mixed	9	-0.247838163	GTnH	Contaminated	Con	P. major	GTn
X159	X159	159	GT	nestling	26.5.2021	16.5.2021	VESN	43	H	6.3	30	10	13.1	F	Y	10	10	mixed	9	-0.199705665	GTnH	Contaminated	Con	P. major	GTn
X167	X167	167	GT	nestling	26.5.2021	16.5.2021	VESN	40	H	12.7	32	10	15.5	M	Y	9	9	mixed	9	1.748426833	GTnH	Contaminated	Con	P. major	GTn
X168	X168	168	GT	nestling	26.5.2021	16.5.2021	VESN	40	H	12.7	29	10	12.8	M	Y	9	9	mixed	9	-0.273771914	GTnH	Contaminated	Con	P. major	GTn
X175	X175	175	GT	nestling	26.5.2021	16.5.2021	CHISTO	83	H	11.7	35	10	14.3	F	Y	9	9	birch	9	-0.129374419	GTnH	Contaminated	Con	P. major	GTn
X177	X177	177	GT	nestling	26.5.2021	16.5.2021	CHISTO	83	H	11.7	34	10	14.5	M	Y	9	9	birch	9	0.296559332	GTnH	Contaminated	Con	P. major	GTn
X186	X186	186	GT	nestling	27.5.2021	16.5.2021	GLUBO	126	H	10.2	44	11	17.7	M	Y	10	10	birch	9	1.237221823	GTnH	Contaminated	Con	P. major	GTn
X187	X187	187	GT	nestling	27.5.2021	16.5.2021	GLUBO	126	H	10.2	35	11	14.7	M	Y	10	10	birch	9	0.270625581	GTnH	Contaminated	Con	P. major	GTn
X198	X198	198	GT	nestling	27.5.2021	16.5.2021	GLUBO	135	H	18.7	30	11	13.3	F	Y	12	12	birch	9	0.000294335	GTnH	Contaminated	Con	P. major	GTn
X199	X199	199	GT	nestling	27.5.2021	16.5.2021	GLUBO	135	H	18.7	36	11	14.7	M	Y	12	12	birch	9	0.04469183	GTnH	Contaminated	Con	P. major	GTn
X61	X61	61	GT	nestling	24.5.2021	16.5.2021	STECH	16B	C	0.1	26	8	10.8	M	Y	7	7	birch	9	-1.595970661	GTnC	Uncontaminated	Unc	P. major	GTn
X64	X64	64	GT	nestling	24.5.2021	16.5.2021	STECH	16B	C	0.1	25	8	11.1	M	Y	7	7	birch	9	-1.070036911	GTnC	Uncontaminated	Unc	P. major	GTn
X138	X138	138	GT	nestling	25.5.2021	17.5.2021	YAM	102	C	0.158	20	8	12.4	F	Y	10	10	birch	10	1.359631844	GTnC	Uncontaminated	Unc	P. major	GTn
X139	X139	139	GT	nestling	25.5.2021	17.5.2021	YAM	102	C	0.158	21	8	11.1	F	Y	10	10	birch	10	-0.166301907	GTnC	Uncontaminated	Unc	P. major	GTn
X141	X141	141	GT	nestling	29.5.2021	17.5.2021	YAM	109	C	0.158	39	12	17.8	F	Y	9	9	birch	10	2.466890577	GTnC	Uncontaminated	Unc	P. major	GTn
X142	X142	142	GT	nestling	29.5.2021	17.5.2021	YAM	109	C	0.158	39	12	18	M	Y	9	9	birch	10	2.666890577	GTnC	Uncontaminated	Unc	P. major	GTn
X148	X148	148	GT	nestling	26.5.2021	17.5.2021	VESN	33	H	6.2	27	9	12.6	F	Y	11	11	mixed	10	-0.021904412	GTnH	Contaminated	Con	P. major	GTn
X149	X149	149	GT	nestling	26.5.2021	17.5.2021	VESN	33	H	6.2	26	9	11.3	F	Y	11	11	mixed	10	-1.095970661	GTnH	Contaminated	Con	P. major	GTn
X172	X172	172	GT	nestling	26.5.2021	17.5.2021	VESN	44	H	9.6	27	9	13.4	F	Y	9	9	mixed	10	0.778095588	GTnH	Contaminated	Con	P. major	GTn
X173	X173	173	GT	nestling	26.5.2021	17.5.2021	VESN	44	H	9.6	21	9	12.1	M	Y	9	9	mixed	10	0.833698093	GTnH	Contaminated	Con	P. major	GTn
X205	X205	205	GT	nestling	27.5.2021	17.5.2021	GLUBO	138	H	9.3	31	10	14.8	F	Y	11	11	birch	10	1.274360584	GTnH	Contaminated	Con	P. major	GTn
X206	X206	206	GT	nestling	27.5.2021	17.5.2021	GLUBO	138	H	9.3	32	10	15.3	M	Y	11	11	birch	10	1.548426833	GTnH	Contaminated	Con	P. major	GTn
X219	X219	219	GT	nestling	27.5.2021	17.5.2021	KOS	145	C	0.32	31	10	14.8	M	Y	10	10	birch	10	1.274360584	GTnC	Uncontaminated	Unc	P. major	GTn
X221	X221	221	GT	nestling	27.5.2021	17.5.2021	KOS	145	C	0.32	36	10	14.9	M	Y	10	10	birch	10	0.24469183	GTnC	Uncontaminated	Unc	P. major	GTn
X312	X312	312	GT	nestling	28.5.2021	17.5.2021	STECH	30	C	0.1	37	11	14.9	M	Y	11	9	birch	10	0.018758079	GTnC	Uncontaminated	Unc	P. major	GTn
X313	X313	313	GT	nestling	28.5.2021	17.5.2021	STECH	30	C	0.1	38	11	15.9	M	Y	11	9	birch	10	0.792824328	GTnC	Uncontaminated	Unc	P. major	GTn
X316	X316	316	GT	nestling	28.5.2021	17.5.2021	STECH	29	C	0.1	39	11	15.9	F	Y	11	10	birch	10	0.566890577	GTnC	Uncontaminated	Unc	P. major	GTn
X318	X318	318	GT	nestling	28.5.2021	17.5.2021	STECH	29	C	0.1	37	11	15.6	F	Y	11	10	birch	10	0.718758079	GTnC	Uncontaminated	Unc	P. major	GTn
X369	X369	369	GT	nestling	27.5.2021	17.5.2021	GLUBO	128	H	13.2	32	10	13.1	F	Y	12	12	birch	10	-0.651573167	GTnH	Contaminated	Con	P. major	GTn
X371	X371	371	GT	nestling	27.5.2021	17.5.2021	GLUBO	128	H	13.2	30	10	12.3	M	Y	12	12	birch	10	-0.999705665	GTnH	Contaminated	Con	P. major	GTn
X41	X41	41	GT	nestling	23.5.2021	17.5.2021	C2	19	C	0.178	24	6	12.5	F	Y	9	9	birch	10	0.55589684	GTnC	Uncontaminated	Unc	P. major	GTn
X42	X42	42	GT	nestling	23.5.2021	17.5.2021	C2	19	C	0.178	16	6	9.9	M	Y	9	9	birch	10	-0.236633153	GTnC	Uncontaminated	Unc	P. major	GTn
X302	X302	302	GT	nestling	28.5.2021	18.5.2021	STECH	22	C	0.1	33	10	15.5	F	Y	7	7	birch	11	1.522493083	GTnC	Uncontaminated	Unc	P. major	GTn
X305	X305	305	GT	nestling	28.5.2021	18.5.2021	STECH	22	C	0.1	32	10	16.4	M	Y	7	7	birch	11	2.648426833	GTnC	Uncontaminated	Unc	P. major	GTn
X326	X326	326	GT	nestling	29.5.2021	18.5.2021	YAM	113	C	0.3	34	11	15.5	M	Y	11	11	birch	11	1.296559332	GTnC	Uncontaminated	Unc	P. major	GTn
X328	X328	328	GT	nestling	29.5.2021	18.5.2021	YAM	113	C	0.3	31	11	13.8	F	Y	11	11	birch	11	0.274360584	GTnC	Uncontaminated	Unc	P. major	GTn
X337	X337	337	GT	nestling	29.5.2021	18.5.2021	YAM	107	C	0.158	33	11	11.3	F	Y	9	9	birch	11	-2.677506917	GTnC	Uncontaminated	Unc	P. major	GTn
X338	X338	338	GT	nestling	29.5.2021	18.5.2021	YAM	107	C	0.158	37	11	14.9	M	Y	9	9	birch	11	0.018758079	GTnC	Uncontaminated	Unc	P. major	GTn
X343	X343	343	GT	nestling	30.5.2021	18.5.2021	RED3	4	H	33	42	12	14.9	F	Y	11	11	birch	11	-1.110910675	GTnH	Contaminated	Con	P. major	GTn
X344	X344	344	GT	nestling	30.5.2021	18.5.2021	RED3	4	H	33	40	12	14.9	F	Y	11	11	birch	11	-0.659043173	GTnH	Contaminated	Con	P. major	GTn
A11	A11	A11	GT	nestling	23.5.2021	19.5.2021	C1	11	C	0.178	10	4	7.3	NA	Y	10	9	birch	12	-1.481030648	GTnC	Uncontaminated	Unc	P. major	GTn
X321	X321	321	GT	nestling	28.5.2021	19.5.2021	RAZ	51	C	0.07	27	9	15.7	M	Y	9	9	mixed	12	3.078095588	GTnC	Uncontaminated	Unc	P. major	GTn
X322	X322	322	GT	nestling	28.5.2021	19.5.2021	RAZ	51	C	0.07	28	9	14.6	F	Y	9	9	mixed	12	1.752161837	GTnC	Uncontaminated	Unc	P. major	GTn
X58	X58	58	GT	nestling	23.5.2021	19.5.2021	C1	11	C	0.178	10	4	7.2	NA	Y	10	9	birch	12	-1.581030648	GTnC	Uncontaminated	Unc	P. major	GTn
