Sample	Sampleid2	bird.id	sampdate	hatchdate	species	lifestage	plot	box	zone	radiation	wingmm	age	massg	sex	microbiome	clutch_size	brood_size	forest_type	hatch_value	body_condition	categoryHC	diet1	diet2	category	 Diptera	 Lepidoptera	unassigned	Contaminatedt_label1	cont_label2	species_label
X90	90	2	23.5.2021	13.5.2021	GT	nestling	C2	1	C	0.078	31	10	11.2	F	Y	11	9	birch	6	-2.325639416	GTnC	Y	gtn	gtnC	0	0.349112426	0.650887574	Uncontaminated	Unc	P. major
X195	195	3.2	15.6.2021	1.6.2021	PF	nestling	RED3	3	H	52	47	14	13.9	NA	Y	7	7	birch	20	-0.098044225	PFnH	Y	pfn	pfnH	0	0.292307692	0.707692308	Contaminated	Con	F. hypoleuca
X187	187	3.3	15.6.2021	1.6.2021	PF	nestling	RED3	3	H	52	51	14	13.6	NA	Y	7	7	birch	20	-0.908940986	PFnH	Y	pfn	pfnH	0	1	0	Contaminated	Con	F. hypoleuca
X57	57	7	23.5.2021	9.5.2021	GT	nestling	C2	6	C	0.171	50	14	16.2	M	Y	11	11	birch	2	-1.618380682	GTnC	Y	gtn	gtnC	0	0.21228903	0.78771097	Uncontaminated	Unc	P. major
X127	127	12	23.5.2021	NA	GT	adult	C2	6	C	0.171	77	NA	18.2	M	Y	11	11	birch	NA	-0.121463715	GTaC	Y	gta	gtaC	0	0.212905237	0.787094763	Uncontaminated	Unc	P. major
X13	13	15	23.5.2021	11.5.2021	GT	nestling	C2	9A	C	0.176	41	12	14.9	F	Y	10	10	birch	4	-0.884976924	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X49	49	20	23.5.2021	9.5.2021	GT	nestling	C2	16A	C	0.173	48	14	16.6	F	Y	9	9	birch	2	-0.76651318	GTnC	Y	gtn	gtnC	0	0.216118685	0.783881315	Uncontaminated	Unc	P. major
X21	21	22	23.5.2021	9.5.2021	GT	nestling	C2	16A	C	0.173	46	14	16	F	Y	9	9	birch	2	-0.914645679	GTnC	Y	gtn	gtnC	0	0.213359528	0.786640472	Uncontaminated	Unc	P. major
X179	179	26.1	13.6.2021	5.6.2021	PF	nestling	STECH	26	C	0.1	32	8	12.4	NA	Y	7	7	birch	24	0.317818631	PFnC	Y	pfn	pfnC	0.380952381	0.619047619	0	Uncontaminated	Unc	F. hypoleuca
X193	193	26.2	13.6.2021	5.6.2021	PF	nestling	STECH	26	C	0.1	31	8	13.5	NA	Y	7	7	birch	24	1.545542822	PFnC	Y	pfn	pfnC	0.821576763	0	0.178423237	Uncontaminated	Unc	F. hypoleuca
X96	96	29	23.5.2021	8.5.2021	GT	nestling	C2	15	C	0.079	47	15	16.2	F	Y	11	11	birch	1	-0.940579429	GTnC	Y	gtn	gtnC	0.166666667	0	0.833333333	Uncontaminated	Unc	P. major
X202	202	31.4	13.6.2021	NA	PF	nestling	VESN	31	H	8.4	NA	NA	NA	NA	Y	6	6	mixed	NA	NA	PFnH	Y	pfn	pfnH	0.911764706	0.088235294	0	Contaminated	Con	F. hypoleuca
X177	177	31.5	13.6.2021	NA	PF	nestling	VESN	31	H	8.4	NA	NA	NA	NA	Y	6	6	mixed	NA	NA	PFnH	Y	pfn	pfnH	0.143375681	0.397459165	0.459165154	Contaminated	Con	F. hypoleuca
X198	198	32.2	13.6.2021	1.6.2021	PF	nestling	VESN	32	H	9	44	12	13.8	NA	Y	6	6	mixed	20	0.185128347	PFnH	Y	pfn	pfnH	0.046387833	0.368060837	0.585551331	Contaminated	Con	F. hypoleuca
X54	54	34	23.5.2021	12.5.2021	GT	nestling	C2	5	C	0.072	35	11	15.6	M	Y	11	11	birch	5	1.170625581	GTnC	Y	gtn	gtnC	0.016977929	0.213073005	0.769949066	Uncontaminated	Unc	P. major
X165	165	36	23.5.2021	12.5.2021	GT	nestling	C2	5	C	0.072	36	11	14.7	M	Y	11	11	birch	5	0.04469183	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X189	189	36.1	13.6.2021	4.6.2021	PF	nestling	VESN	36	H	8.6	34	9	12.5	NA	Y	8	8	mixed	23	0.162370251	PFnH	Y	pfn	pfnH	0.022382094	0.223820943	0.753796962	Contaminated	Con	F. hypoleuca
X211	211	36.2	13.6.2021	4.6.2021	PF	nestling	VESN	36	H	8.6	36	9	13.6	NA	Y	8	8	mixed	23	1.00692187	PFnH	Y	pfn	pfnH	0.20451843	0	0.79548157	Contaminated	Con	F. hypoleuca
