#OTUID	domain	phylum	class	order	family	genus	species
72223205a07f89423a3a8db188605729	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Planotetraspora	
7fe7ddc0019c485c136072c3bea4f463	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
dc50dd54435b6007732f2be96f541f86	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	
9c6d27b010ab1e78641616b8e8e9ba88	Bacteria	Firmicutes	Clostridia	Clostridia	Hungateiclostridiaceae	uncultured	
5d0ef4c4067df4e28213b720abb987af	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
66b4a55b39e893f6455e0856a3be2940	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Incertae_Sedis	
c1ef7f1f61e48d4f6969bb7b3cde0110	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Incertae_Sedis	
82905d9af2e0ca331dcb1b79ec8d3e3e	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	
ccf54cb16f1d914f0172fdd4a8bedc80	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	
46e31308463e158f0fd950c41a74c23f	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	
ab964016e3bc5400dc96d918db7312e1	Bacteria	Firmicutes	Clostridia	Clostridiales	uncultured	uncultured	
593f09278e82fef58630a26d423fe019	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	
e2ebc57b27503d7f2406d39af4ed8265	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	
e7031eaa3b9f46147714f34450877990	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
392fd537c81df548a16696df627c318c	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
36772e7c4d1a6b47a1d63840f17cc258	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae	
5c78e9f90c51ccded020cf0bc61a49bb	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	
13b5b402a23894ffcf4edda49bddcf64	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	
748df11d0e67e7b1e428bc143e5ddc63	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
dd80e77c683de4b4f575d238ba9546db	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
a0d57faf507eded52286714ab39f2bbb	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Lysinimonas	
58270a3a0c8fc92ce82bfded47178762	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	
ff1cc538129804ce206537f0b67d5c90	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Paludisphaera	
49dda6c8244fe6089ca210b75626294e	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	
6572e5f7f7ab5213babd6201c93a9b87	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
5acb983e124e1c4d5e00db51183c3f02	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
d30edee2479339a51f6cc4d3ae926d44	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	
6832b44803f63f103bf3e854974be476	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	endosymbionts	
58f78b4ccdf822edb0f4fa546ed35de0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	
fe58ba05dbec8b172ff575707e60d711	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
86414b537a908e46e1afbda89969b234	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
9d0ce9867aeb8384c0b100697ee97c92	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	LWQ8	
5ed1c20812ef1f23310ddc5f4444181f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
82690583ca0834bb057ad1ca5eb11853	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	
ab790941e51508357d267e942c04e54a	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	
bd227e01f04f4ab60fa400058aa31176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
80f5286afbc4a7936f885f6eab3a16d9	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	
972d56bd32b794b66cf208372604b84a	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	
7ecc4735f29d6d8fdeb8f270623be04c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
0bcccb7fc9bcadb1c32a3bf5b99a0859	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
6b3d28bff608acfdbe79584160334460	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	
db674950f8e1a79a3286e8f1867eee4a	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera	
03dfae327a396dfc6e6f5fc54872b0d0	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	
269283cd55eb79bf42267277c8b5befe	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	
19eca3e6dbe87a11a91229de13ffee72	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae	
df1d606f9cc90b53fa16f403c37eedc9	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	
ca8cc8ff516c6f84be7eb87154852fc7	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
c3dff53c3736fee7b77e2e81863dc6d4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	
7e299993be23fe9d132ca90b6668d7bb	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
2a88509b91382a1bc62c6334f5115de5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
5c0909498baf93f1f49b9d9a489ee90f	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	
77407c1606d61c8dae6882863b920902	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	
cced00e35b2f4e1fe9b019ab65b565ce	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	
e40e71bf6999e768fce01ee8213523c8	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
1bfbe69ea680400b73fb5e4fba736dd4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	endosymbionts	
693ad91ad02b075a3ceb786c95897179	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
ac8520a5b55ac96c3e7aa18dc09cc506	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	
308df1fb41d807a16562a9960b47db39	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	
4f9b0c94543d2720de3258e6cacd3ddb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	uncultured	
e731502d54e7f6ae82861c31ea2f00ef	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
d3e019ee9b80aa7e8a9141de1a470f4e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	
fdb5af369ca185dc6ab04fe00134deda	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
50070794278909657c528ef3bdef1a97	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	
a06f77f797df2e3e065ba70ff167591e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
6d820bd78231f73203031ee7b1547850	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	
3e243b36e7ed3e97a2dd04df5da706f5	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina	
968e6a753b3ce87b192ff4b099bdc7c0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	
f2e4e0cac61a8dfbf5f090e3cec33403	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	
1f4f3d3ac7ee6cca4efc8dcec2178335	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	
23a054c0b89cacf699817b564b4d12c8	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
f78cc2e4561ce40a875a988224a107dc	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
d6b5dc3c5f675d5572ac941bae2dcfd4	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
2a78a151b9ea15b93b5149feb0c6f444	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Allobranchiibius	
f9026e1d461c7dbcc4350b884aebed5d	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Incertae_Sedis	
537643c41efb4e407dba3325cb998a6d	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter	
617965e559418bdfac80be961df1553c	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	
81fb4e5121e4a9fbd92263676738306f	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	UCG-004	
bf6321a3c14efa0349736f3695b2d0cf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	
2b56dbcbe11f8c062aa04964ae945216	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	
c8cb959897a9fb1e6ecaf664b9f3ff88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
811e2c3ca53c492992064163fc32982e	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	
1e5eebb4a60f3e81e49ac4cfac21efef	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	
