OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
9af3e74614c7a550ba0ec0edad758f2f	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
5697b1fcf443393ede13c6642677d167	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
64ea5025c95ee1f045a4d0090a8bd5db	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
e9ab0235c9a76eeba19b062508de491c	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
9f6bd5bab31f2596a1404a8ba3b773f7	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
d4ea0089a344e95bde57ccb760b1acc5	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
7927ef57734371e2faaefb1319be79cb	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
811126ee1dd7ec8ac8644e1dd8089c23	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
a83e45ce6d4da79e3dbbdeb7b7dfa17b	Metazoa	 Arthropoda	 Insecta	 Diptera	 Muscidae	unassigned	unassigned
3d355acfb3a59f17b7c019c0957a989c	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
06b0ebea9707d97764fbd558b5e87784	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
80d8548e56050371837acc9f42b39b65	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
1a9af2e8ba9e454542555aa580f9a679	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
5c8500586a47cc562563e5aad33aea85	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
70618ad17b7bc6ed28b0422c6aaf1866	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
be7e4cf559e45e82b5082b6fa7456473	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
00570a896b18755b52f9e3d53b5765d2	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
033b54d671f369a32091b24627c5044b	Metazoa	 Arthropoda	 Insecta	 Lepidoptera	 Erebidae	 Caenurgina	 Caenurgina erechtea
d4c855ebcb0bd9a0da3c378c699e662d	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
d719e55ca4e97c02fe4ca7e9f6e129f1	Metazoa	 Arthropoda	 Insecta	unassigned	unassigned	unassigned	unassigned
7f1601cdb6cd9e12b249d430eb41daed	Metazoa	 Arthropoda	 Insecta	 Diptera	unassigned	unassigned	unassigned
